MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
40.33333333,40.33333333,9.307692308,4.333333333,6.333333333,4.333333333,0.538461538,2.333333333,1.0,1.0,0.333333333,0.076923077,5.333333333,1.230769231
22.0,22.0,11.0,2.0,2.5,2.0,0.0,0.0,1.0,0.0,1.5,0.75,2.5,1.25
41.0,41.0,10.25,4.0,5.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,5.0,1.25
82.0,82.0,8.2,10.0,14.0,10.0,0.5,5.0,1.0,1.0,1.0,0.1,9.0,0.9
41.5,20.75,11.85714286,3.5,2.25,1.75,0.428571429,0.75,2.0,0.25,0.25,0.142857143,2.75,1.571428571
58.0,19.33333333,7.25,8.0,3.0,2.666666667,0.625,1.666666667,3.0,0.666666667,0.333333333,0.125,2.666666667,1.0
14.0,14.0,7.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,3.0,1.5
41.5,41.5,11.85714286,3.5,4.5,3.5,0.714285714,2.5,1.0,1.0,2.0,0.571428571,6.5,1.857142857
14.5,19.33333333,11.6,1.25,2.0,1.666666667,0.4,0.666666667,0.75,0.666666667,1.0,0.6,3.0,1.8
31.0,19.92857143,9.3,3.333333333,2.857142857,2.142857143,0.5,1.071428571,1.555555556,0.571428571,0.285714286,0.133333333,3.071428571,1.433333333
84.0,84.0,9.333333333,9.0,10.0,9.0,0.888888889,8.0,1.0,1.0,4.0,0.444444444,15.0,1.666666667
34.0,34.0,22.66666667,1.5,4.0,1.5,0.666666667,1.0,1.0,1.0,0.5,0.333333333,3.5,2.333333333
39.0,13.0,5.571428571,7.0,3.0,2.333333333,0.571428571,1.333333333,3.0,1.0,0.0,0.0,1.333333333,0.571428571
44.0,14.66666667,14.66666667,3.0,1.333333333,1.0,0.0,0.0,3.0,0.0,0.333333333,0.333333333,2.333333333,2.333333333
79.0,19.75,8.777777778,9.0,2.5,2.25,0.555555556,1.25,4.0,0.75,0.75,0.333333333,3.5,1.555555556
51.0,25.5,8.5,6.0,3.0,3.0,0.666666667,2.0,2.0,0.5,0.0,0.0,3.0,1.0
19.8,24.75,9.9,2.0,2.75,2.5,0.5,1.25,0.8,0.25,1.0,0.4,3.25,1.3
14.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
24.0,12.0,12.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
19.0,19.0,11.4,1.666666667,2.0,1.666666667,0.4,0.666666667,1.0,0.666666667,1.0,0.6,2.666666667,1.6
19.5,26.0,19.5,1.0,1.333333333,1.333333333,0.25,0.333333333,0.75,0.333333333,1.666666667,1.25,4.333333333,3.25
32.0,32.0,8.0,4.0,5.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,6.0,1.5
16.75,13.4,8.375,2.0,1.6,1.6,0.375,0.6,1.25,0.6,0.2,0.125,1.6,1.0
